type,metric,team,month,value,mean,severity,confidence,prev_value,severity_score
Sudden Change,PR Comments - X/Wk,Recruiting Innovation,November → December,16.5,,3.125,High,4.0,8.25
Sudden Change,PR Comments - X/FTE Wk,Recruiting Innovation,October → November,0.44,,0.5963302752293579,Medium,1.09,2.234862385321101
Sudden Change,PR Comments - X/FTE Wk,Recruiting Innovation,November → December,4.14,,8.409090909090908,High,0.44,18.818181818181817
Sudden Change,Cycle Time (Days) ,Learning Management,December → January,6.96,,0.5432372505543238,Medium,4.51,2.1605321507760533
Sudden Change,Unplanned work %,Learning Management,August → September,0.34,,0.5454545454545455,Medium,0.22,2.1636363636363636
Sudden Change,Unplanned work %,Learning Management,September → October,0.64,,0.8823529411764705,Medium,0.34,2.635294117647059
Sudden Change,Unplanned work %,Learning Management,December → January,0.03,,0.9000000000000001,Medium,0.3,2.66
Sudden Change,Unplanned work %,Learning Management,February → March,0.0,,1.0,Medium,0.015,2.8
Sudden Change,Dispositioned PDR Bugs - Created,Learning Management,July → August,4.0,,1.0,Medium,2.0,2.8
Sudden Change,Dispositioned PDR Bugs - Created,Learning Management,September → October,1.0,,0.6666666666666666,Medium,3.0,2.333333333333333
Sudden Change,Dispositioned PDR Bugs - Created,Learning Management,October → November,2.0,,1.0,Medium,1.0,2.8
Sudden Change,Dispositioned PDR Bugs - Created,Learning Management,February → March,5.0,,0.6666666666666666,Medium,3.0,2.333333333333333
Sudden Change,Dispositioned PDR Bugs - Resolved,Learning Management,July → August,4.0,,3.0,High,1.0,8.0
Sudden Change,Dispositioned PDR Bugs - Resolved,Learning Management,September → October,0.0,,1.0,Medium,3.0,2.8
Sudden Change,Commitment %,Learning Management,November → December,100.0,,1.0,Medium,50.0,2.8
Sudden Change,Commitment %,Learning Management,December → January,0.0,,1.0,Medium,100.0,2.8
Sudden Change,Investment Allocations - T,Learning Management,November → December,38.0,,1.2352941176470589,High,17.0,4.470588235294118
Sudden Change,Investment Allocations - M,Learning Management,July → August,4.0,,1.0,Medium,2.0,2.8
Sudden Change,Investment Allocations - M,Learning Management,October → November,7.0,,2.5,High,2.0,7.0
Sudden Change,Investment Allocations - M,Learning Management,November → December,0.0,,1.0,Medium,7.0,2.8
Sudden Change,Investment Allocations - M,Learning Management,January → February,0.0,,1.0,Medium,4.0,2.8
Sudden Change,PR Review Velocity - X / Wk ,Learning Management,January → February,37.0,,0.7619047619047619,Medium,21.0,2.4666666666666663
Sudden Change,PR Review Velocity - X / FTE Wk,Learning Management,January → February,3.7,,0.7619047619047619,Medium,2.1,2.4666666666666663
Sudden Change,PRS Merged - X/Wk,Learning Management,January → February,43.0,,0.8695652173913043,Medium,23.0,2.6173913043478256
Sudden Change,PRS Merged -  X/FTE Wk,Learning Management,January → February,4.3,,0.8695652173913044,Medium,2.3,2.617391304347826
Sudden Change,PR Comments - X/Wk,Learning Management,July → August,7.0,,0.75,Medium,4.0,2.4499999999999997
Sudden Change,PR Comments - X/Wk,Learning Management,November → December,12.0,,1.4,High,5.0,4.8
Sudden Change,PR Comments - X/Wk,Learning Management,January → February,17.0,,0.7,Medium,10.0,2.38
Sudden Change,PR Comments - X/FTE Wk,Learning Management,July → August,0.7,,0.7499999999999998,Medium,0.4,2.4499999999999997
Sudden Change,PR Comments - X/FTE Wk,Learning Management,November → December,1.2,,1.4,High,0.5,4.8
Sudden Change,PR Comments - X/FTE Wk,Learning Management,January → February,1.7,,0.7,Medium,1.0,2.38
Sudden Change,Action Plan 1,Learning Management,February → March,3.0,,0.7,Medium,10.0,2.38
Sudden Change,Sprint Predictability ,Employee Voice,September → October,0.781,,0.6831896551724138,Medium,0.464,2.356465517241379
Sudden Change,Sprint Predictability ,Employee Voice,December → January,0.785,,0.9478908188585607,Medium,0.403,2.7270471464019845
Sudden Change,Cycle Time (Days) ,Employee Voice,January → February,9.39,,0.8023032629558543,Medium,5.21,2.5232245681381955
Sudden Change,Unplanned work %,Employee Voice,October → November,0.45,,1.8125000000000002,High,0.16,5.625
Sudden Change,Unplanned work %,Employee Voice,January → February,0.08,,0.7714285714285714,Medium,0.35,2.4799999999999995
Sudden Change,Dispositioned PDR Bugs - Created,Employee Voice,July → August,10.0,,1.5,High,4.0,5.0
Sudden Change,Dispositioned PDR Bugs - Created,Employee Voice,October → November,4.0,,0.6363636363636364,Medium,11.0,2.2909090909090906
Sudden Change,Dispositioned PDR Bugs - Created,Employee Voice,November → December,0.0,,1.0,Medium,4.0,2.8
Sudden Change,Dispositioned PDR Bugs - Created,Employee Voice,January → February,1.0,,0.9,Medium,10.0,2.6599999999999997
Sudden Change,Dispositioned PDR Bugs - Resolved,Employee Voice,September → October,1.0,,0.875,Medium,8.0,2.625
Sudden Change,Dispositioned PDR Bugs - Resolved,Employee Voice,November → December,5.0,,4.0,High,1.0,10.0
Sudden Change,Dispositioned PDR Bugs - Resolved,Employee Voice,December → January,14.0,,1.8,High,5.0,5.6
Sudden Change,Dispositioned PDR Bugs - Resolved,Employee Voice,January → February,4.0,,0.7142857142857143,Medium,14.0,2.4
Sudden Change,Commitment %,Employee Voice,September → October,0.0,,1.0,Medium,1.0,2.8
Sudden Change,Commitment %,Employee Voice,November → December,1.0,,1.0,Medium,0.5,2.8
Sudden Change,Commitment %,Employee Voice,December → January,0.0,,1.0,Medium,1.0,2.8
Sudden Change,Investment Allocations - R,Employee Voice,July → August,0.06,,0.76,Medium,0.25,2.464
